nconf;dreg;dtacc;dtfine;mp
250748;01/10/2012;28/09/2012;04/10/2012;MP 02/028 rev. 10
247535;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
239073;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
239077;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
239080;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
239084;06/10/2011;29/09/2011;06/10/2011;MP 02/028 rev. 9
239040;06/10/2011;29/09/2011;06/10/2011;MP 02/028 rev. 9
239043;06/10/2011;29/09/2011;06/10/2011;MP 02/028 rev. 9
239047;06/10/2011;29/09/2011;06/10/2011;MP 02/028 rev. 9
239051;06/10/2011;29/09/2011;06/10/2011;MP 02/028 rev. 9
239057;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
239063;06/10/2011;03/10/2011;06/10/2011;MP 02/028 rev. 9
169076;11/07/2011;05/07/2011;15/07/2011;MP 02/028 rev. 9
214113;08/09/2011;07/09/2011;12/09/2011;MP 02/028 rev. 9
214122;08/09/2011;06/09/2011;13/09/2011;MP 02/028 rev. 9
214128;08/09/2011;06/09/2011;13/09/2011;MP 02/028 rev. 9
214133;08/09/2011;06/09/2011;13/09/2011;MP 02/028 rev. 9
214137;08/09/2011;06/09/2011;13/09/2011;MP 02/028 rev. 9
247538;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247543;27/09/2012;26/09/2012;28/09/2012;MP 02/028 rev. 10
247549;27/09/2012;26/09/2012;28/09/2012;MP 02/028 rev. 10
247582;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247588;27/09/2012;26/09/2012;28/09/2012;MP 02/028 rev. 10
247364;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247380;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247449;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247467;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247477;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247486;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
247218;27/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
247240;27/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
247249;27/09/2012;25/09/2012;29/09/2012;MP 02/028 rev. 10
247259;27/09/2012;25/09/2012;29/09/2012;MP 02/028 rev. 10
247295;27/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
247302;27/09/2012;26/09/2012;29/09/2012;MP 02/028 rev. 10
242800;24/09/2012;21/09/2012;25/09/2012;MP 02/028 rev. 10
242811;24/09/2012;21/09/2012;28/09/2012;MP 02/028 rev. 10
242856;24/09/2012;21/09/2012;25/09/2012;MP 02/028 rev. 10
242881;24/09/2012;21/09/2012;28/09/2012;MP 02/028 rev. 10
242932;24/09/2012;24/09/2012;25/09/2012;MP 02/028 rev. 10
247176;27/09/2012;25/09/2012;28/09/2012;MP 02/028 rev. 10
240381;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
242761;24/09/2012;21/09/2012;28/09/2012;MP 02/028 rev. 10
242765;24/09/2012;21/09/2012;25/09/2012;MP 02/028 rev. 10
242771;24/09/2012;21/09/2012;28/09/2012;MP 02/028 rev. 10
242780;24/09/2012;21/09/2012;25/09/2012;MP 02/028 rev. 10
242788;24/09/2012;21/09/2012;25/09/2012;MP 02/028 rev. 10
240356;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240362;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240366;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240371;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240373;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240377;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
240336;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240339;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240341;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240344;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240347;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240350;20/09/2012;19/09/2012;21/09/2012;MP 02/028 rev. 10
235540;17/09/2012;17/09/2012;21/09/2012;MP 02/028 rev. 10
235547;17/09/2012;17/09/2012;21/09/2012;MP 02/028 rev. 10
235567;17/09/2012;17/09/2012;21/09/2012;MP 02/028 rev. 10
240323;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240328;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
240332;20/09/2012;18/09/2012;21/09/2012;MP 02/028 rev. 10
235442;17/09/2012;14/09/2012;21/09/2012;MP 02/028 rev. 10
235458;17/09/2012;14/09/2012;21/09/2012;MP 02/028 rev. 10
235464;17/09/2012;14/09/2012;21/09/2012;MP 02/028 rev. 10
235477;17/09/2012;14/09/2012;21/09/2012;MP 02/028 rev. 10
230903;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
230912;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
230918;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
230923;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
230931;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228718;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228726;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228730;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228733;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228735;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
230856;12/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
227208;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227340;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227345;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
228700;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228708;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
228712;11/09/2012;11/09/2012;13/09/2012;MP 02/028 rev. 10
227157;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227184;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227186;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227190;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227193;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227195;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
222487;05/09/2012;31/08/2012;06/09/2012;MP 02/028 rev. 10
222494;05/09/2012;31/08/2012;06/09/2012;MP 02/028 rev. 10
222498;05/09/2012;31/08/2012;06/09/2012;MP 02/028 rev. 10
227145;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227147;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
227154;10/09/2012;07/09/2012;13/09/2012;MP 02/028 rev. 10
222463;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222469;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222473;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222477;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222481;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222483;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222187;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222193;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222434;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
222439;05/09/2012;04/09/2012;06/09/2012;MP 02/028 rev. 10
195424;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
195429;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
195433;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
195437;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
195440;01/08/2012;01/08/2012;02/08/2012;MP 02/028 rev. 10
194317;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
194318;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
194319;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
194321;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
194324;31/07/2012;31/07/2012;02/08/2012;MP 02/028 rev. 10
